Date,Cboe
2015-07-28,13.43999958
2015-07-29,12.5
2015-07-30,12.13000011
2015-07-31,12.11999989
2015-08-03,12.56000042
2015-08-04,13.0
2015-08-05,12.51000023
2015-08-06,13.77000046
2015-08-07,13.39000034
2015-08-10,12.22999954
2015-08-11,13.71000004
2015-08-12,13.60999966
2015-08-13,13.48999977
2015-08-14,12.82999992
2015-08-17,13.02000046
2015-08-18,13.78999996
2015-08-19,15.25
2015-08-20,19.13999939
2015-08-21,28.03000069
2015-08-24,40.74000168
2015-08-25,36.02000046
2015-08-26,30.31999969
2015-08-27,26.10000038
2015-08-28,26.04999924
2015-08-31,28.43000031
2015-09-01,31.39999962
2015-09-02,26.09000015
2015-09-03,25.61000061
2015-09-04,27.79999924
2015-09-08,24.89999962
2015-09-09,26.22999954
2015-09-10,24.37000084
2015-09-11,23.20000076
2015-09-14,24.25
2015-09-15,22.54000092
2015-09-16,21.35000038
2015-09-17,21.13999939
2015-09-18,22.28000069
2015-09-21,20.13999939
2015-09-22,22.44000053
2015-09-23,22.12999916
2015-09-24,23.46999931
2015-09-25,23.62000084
2015-09-28,27.62999916
2015-09-29,26.82999992
2015-09-30,24.5
2015-10-01,22.54999924
2015-10-02,20.94000053
2015-10-05,19.54000092
2015-10-06,19.39999962
2015-10-07,18.39999962
2015-10-08,17.42000008
2015-10-09,17.07999992
2015-10-12,16.17000008
2015-10-13,17.67000008
2015-10-14,18.03000069
2015-10-15,16.04999924
2015-10-16,15.05000019
2015-10-19,14.97999954
2015-10-20,15.75
2015-10-21,16.70000076
2015-10-22,14.44999981
2015-10-23,14.46000004
2015-10-26,15.28999996
2015-10-27,15.43000031
2015-10-28,14.32999992
2015-10-29,14.60999966
2015-10-30,15.06999969
2015-11-02,14.14999962
2015-11-03,14.53999996
2015-11-04,15.51000023
2015-11-05,15.05000019
2015-11-06,14.32999992
2015-11-09,16.52000046
2015-11-10,15.28999996
2015-11-11,16.05999947
2015-11-12,18.37000084
2015-11-13,20.07999992
2015-11-16,18.15999985
2015-11-17,18.84000015
2015-11-18,16.85000038
2015-11-19,16.98999977
2015-11-20,15.47000027
2015-11-23,15.61999989
2015-11-24,15.93000031
2015-11-25,15.18999958
2015-11-27,15.11999989
2015-11-30,16.12999916
2015-12-01,14.67000008
2015-12-02,15.90999985
2015-12-03,18.11000061
2015-12-04,14.81000042
2015-12-07,15.84000015
2015-12-08,17.60000038
2015-12-09,19.61000061
2015-12-10,19.34000015
2015-12-11,24.38999939
2015-12-14,22.72999954
2015-12-15,20.95000076
2015-12-16,17.86000061
