Date,Dollar
2015-07-28,96.76999664
2015-07-29,96.98000336
2015-07-30,97.55999756
2015-07-31,97.37000275
2015-08-03,97.48999786
2015-08-04,97.93000031
2015-08-05,97.95999908
2015-08-06,97.83000183
2015-08-07,97.55999756
2015-08-10,97.16000366
2015-08-11,97.29000092
2015-08-12,96.26000214
2015-08-13,96.44999695
2015-08-14,96.56999969
2015-08-17,96.81999969
2015-08-18,96.97000122
2015-08-19,96.45999908
2015-08-20,95.75
2015-08-21,94.83000183
2015-08-24,93.30999756
2015-08-25,94.52999878
2015-08-26,95.09999847
2015-08-27,95.61000061
2015-08-28,96.11000061
2015-08-31,95.94999695
2015-09-01,95.44999695
2015-09-02,95.83000183
2015-09-03,96.41000366
2015-09-04,96.23000336
2015-09-08,95.87999725
2015-09-09,96.01000214
2015-09-10,95.45999908
2015-09-11,95.19000244
2015-09-14,95.25
2015-09-15,95.61000061
2015-09-16,95.41999817
2015-09-17,94.55000305
2015-09-18,94.86000061
2015-09-21,95.88999939
2015-09-22,96.27999878
2015-09-23,96.06999969
2015-09-24,95.98999786
2015-09-25,96.26999664
2015-09-28,96.02999878
2015-09-29,95.88999939
2015-09-30,96.34999847
2015-10-01,96.19000244
2015-10-02,95.83000183
2015-10-05,96.11000061
2015-10-06,95.45999908
2015-10-07,95.5
2015-10-08,95.31999969
2015-10-09,94.80999756
2015-10-12,94.83999634
2015-10-13,94.76000214
2015-10-14,93.93000031
2015-10-15,94.37000275
2015-10-16,94.54000092
2015-10-19,94.95999908
2015-10-20,94.84999847
2015-10-21,95.05000305
2015-10-22,96.33999634
2015-10-23,97.06999969
2015-10-26,96.86000061
2015-10-27,96.91000366
2015-10-28,97.77999878
2015-10-29,97.27999878
2015-10-30,96.94999695
2015-11-02,96.93000031
2015-11-03,97.16000366
2015-11-04,97.94999695
2015-11-05,97.94000244
2015-11-06,99.16000366
2015-11-09,98.98000336
2015-11-10,99.29000092
2015-11-11,99.01000214
2015-11-12,98.65000153
2015-11-13,98.98999786
2015-11-16,99.44000244
2015-11-17,99.62999725
2015-11-18,99.65000153
2015-11-19,98.98999786
2015-11-20,99.56999969
2015-11-23,99.80000305
2015-11-24,99.52999878
2015-11-25,99.80000305
2015-11-27,100.0199966
2015-11-30,100.1699982
2015-12-01,99.80000305
2015-12-02,99.98999786
2015-12-03,97.62000275
2015-12-04,98.34999847
2015-12-07,98.66000366
2015-12-08,98.47000122
2015-12-09,97.34999847
2015-12-10,97.94000244
2015-12-11,97.56999969
2015-12-14,97.59999847
2015-12-15,98.22000122
2015-12-16,97.87000275
2015-12-17,99.26999664
2015-12-18,98.69999695
2015-12-21,98.45999908
2015-12-22,98.23999786
2015-12-23,98.33999634
2015-12-24,97.98000336
2015-12-28,97.91999817
2015-12-29,98.09999847
2015-12-30,98.26999664
2015-12-31,98.62999725
2016-01-04,98.87000275
2016-01-05,99.40000153
2016-01-06,99.18000031
2016-01-07,98.22000122
