Date,Gold
7/30/2015,1088.400024
7/31/2015,1094.900024
8/3/2015,1089.400024
8/4/2015,1090.699951
8/5/2015,1085.699951
8/6/2015,1090.199951
8/7/2015,1094.099976
8/10/2015,1104.199951
8/11/2015,1107.599976
8/12/2015,1123.199951
8/13/2015,1115.699951
8/14/2015,1112.900024
8/17/2015,1118.599976
8/18/2015,1117.099976
8/19/2015,1128.099976
8/20/2015,1153.0
8/21/2015,1159.599976
8/24/2015,1153.400024
8/25/2015,1138.199951
8/26/2015,1124.599976
8/27/2015,1122.400024
8/28/2015,1133.099976
8/31/2015,1131.599976
9/1/2015,1138.699951
9/2/2015,1132.5
9/3/2015,1123.699951
9/4/2015,1120.599976
9/8/2015,1120.400024
9/9/2015,1102.199951
9/10/2015,1109.5
9/11/2015,1103.5
9/14/2015,1107.699951
9/15/2015,1102.800049
9/16/2015,1119.199951
9/17/2015,1117.300049
9/18/2015,1138.099976
9/21/2015,1133.099976
9/22/2015,1125.0
9/23/2015,1131.599976
9/24/2015,1153.800049
9/25/2015,1146.0
9/28/2015,1132.0
9/29/2015,1127.099976
9/30/2015,1115.5
10/1/2015,1114.199951
10/2/2015,1137.099976
10/5/2015,1138.099976
10/6/2015,1146.800049
10/7/2015,1149.0
10/8/2015,1144.699951
10/9/2015,1156.300049
10/12/2015,1164.900024
10/13/2015,1165.800049
10/14/2015,1180.099976
10/15/2015,1187.900024
10/16/2015,1183.599976
10/19/2015,1173.300049
10/20/2015,1178.0
10/21/2015,1167.599976
10/22/2015,1166.599976
10/23/2015,1163.300049
10/26/2015,1167.0
10/27/2015,1166.800049
10/28/2015,1177.099976
10/29/2015,1147.199951
10/30/2015,1141.5
11/2/2015,1135.800049
11/3/2015,1114.199951
11/4/2015,1106.5
11/5/2015,1104.400024
11/6/2015,1087.599976
11/9/2015,1087.900024
11/10/2015,1088.199951
11/11/2015,1084.699951
11/12/2015,1080.800049
11/13/2015,1080.800049
11/16/2015,1083.699951
11/17/2015,1068.699951
11/18/2015,1068.800049
11/19/2015,1078.0
11/20/2015,1076.400024
11/23/2015,1066.800049
