Date,Int_rate
7/27/2015,2.227999926
7/28/2015,2.25
7/29/2015,2.279000044
7/30/2015,2.267999887
7/31/2015,2.204999924
8/3/2015,2.150000095
8/4/2015,2.210999966
8/5/2015,2.267999887
8/6/2015,2.233999968
8/7/2015,2.174999952
8/10/2015,2.237999916
8/11/2015,2.137000084
8/12/2015,2.130000114
8/13/2015,2.188999891
8/14/2015,2.196000099
8/17/2015,2.150000095
8/18/2015,2.196000099
8/19/2015,2.128999949
8/20/2015,2.084000111
8/21/2015,2.053999901
8/24/2015,1.996999979
8/25/2015,2.132999897
8/26/2015,2.171999931
8/27/2015,2.167999983
8/28/2015,2.186000109
8/31/2015,2.200000048
9/1/2015,2.171999931
9/2/2015,2.193000078
9/3/2015,2.167999983
9/4/2015,2.128000021
9/8/2015,2.194000006
9/9/2015,2.180999994
9/10/2015,2.221999884
9/11/2015,2.183000088
9/14/2015,2.180000067
9/15/2015,2.280999899
9/16/2015,2.302999973
9/17/2015,2.217000008
9/18/2015,2.130000114
9/21/2015,2.213999987
9/22/2015,2.125
9/23/2015,2.144000053
9/24/2015,2.119999886
9/25/2015,2.167999983
9/28/2015,2.095000029
9/29/2015,2.053999901
9/30/2015,2.059999943
10/1/2015,2.042000055
10/2/2015,1.988999963
10/5/2015,2.055999994
10/6/2015,2.035000086
10/7/2015,2.062000036
10/8/2015,2.10800004
10/9/2015,2.098999977
10/12/2015,2.089999914
10/13/2015,2.055000067
10/14/2015,1.980999947
10/15/2015,2.023000002
10/16/2015,2.023000002
10/19/2015,2.028000116
10/20/2015,2.071000099
10/21/2015,2.029999971
10/22/2015,2.025000095
10/23/2015,2.082999945
10/26/2015,2.058000088
10/27/2015,2.028000116
10/28/2015,2.092000008
10/29/2015,2.173000097
10/30/2015,2.151000023
11/2/2015,2.187000036
11/3/2015,2.220000029
11/4/2015,2.230000019
11/5/2015,2.244999886
11/6/2015,2.332999945
11/9/2015,2.342000008
11/10/2015,2.322000027
11/11/2015,2.338000059
11/12/2015,2.319000006
11/13/2015,2.279999971
11/16/2015,2.273000002
11/17/2015,2.260999918
11/18/2015,2.269000053
11/19/2015,2.247999907
11/20/2015,2.262000084
11/23/2015,2.25
11/24/2015,2.243000031
11/25/2015,2.232000113
11/27/2015,2.224999905
11/30/2015,2.217999935
12/1/2015,2.154999971
12/2/2015,2.177999973
12/3/2015,2.329999924
12/4/2015,2.275000095
12/7/2015,2.224999905
12/8/2015,2.237999916
12/9/2015,2.207999945
12/10/2015,2.239000082
12/11/2015,2.138999939
12/14/2015,2.224999905
12/15/2015,2.267999887
12/16/2015,2.286999941
12/17/2015,2.237999916
12/18/2015,2.198999882
12/21/2015,2.197000027
12/22/2015,2.239000082
12/23/2015,2.263999939
12/24/2015,2.243000031
12/28/2015,2.224999905
12/29/2015,2.306999922
12/30/2015,2.302999973
12/31/2015,2.269000053
1/4/2016,2.244999886
1/5/2016,2.247999907
1/6/2016,2.177000046
1/7/2016,2.153000116
1/8/2016,2.130000114
1/11/2016,2.157999992
1/12/2016,2.101999998
1/13/2016,2.065999985
1/14/2016,2.09800005
1/15/2016,2.032999992
1/19/2016,2.035000086
1/20/2016,1.983999968
1/21/2016,2.019000053
1/22/2016,2.048000097
1/25/2016,2.022000074
1/26/2016,1.993999958
1/27/2016,2.000999928
1/28/2016,1.985000014
1/29/2016,1.930999994
2/1/2016,1.965999961
2/2/2016,1.863999963
2/3/2016,1.881000042
2/4/2016,1.863999963
2/5/2016,1.84800005
2/8/2016,1.735000014
2/9/2016,1.728999972
2/10/2016,1.705000043
2/11/2016,1.644000053
2/12/2016,1.748000026
2/16/2016,1.777999997
2/17/2016,1.819000006
2/18/2016,1.758999944
2/19/2016,1.748000026
2/22/2016,1.766000032
2/23/2016,1.745000005
2/24/2016,1.741999984
2/25/2016,1.697000027
2/26/2016,1.761999965
2/29/2016,1.74000001
3/1/2016,1.833999991
3/2/2016,1.84800005
3/3/2016,1.830000043
3/4/2016,1.883000016
3/7/2016,1.90199995
3/8/2016,1.832000017
3/9/2016,1.89199996
3/10/2016,1.92900002
3/11/2016,1.976999998
3/14/2016,1.963000059
3/15/2016,1.958999991
3/16/2016,1.937999964
3/17/2016,1.902999997
3/18/2016,1.871000051
3/21/2016,1.922999978
3/22/2016,1.934999943
3/23/2016,1.875
3/24/2016,1.899999976
3/28/2016,1.870000005
3/29/2016,1.81400001
3/30/2016,1.830000043
3/31/2016,1.786000013
4/1/2016,1.792000055
4/4/2016,1.779000044
4/5/2016,1.726999998
4/6/2016,1.754999995
4/7/2016,1.690999985
4/8/2016,1.720000029
4/11/2016,1.723999977
4/12/2016,1.781000018
4/13/2016,1.761999965
4/14/2016,1.781000018
4/15/2016,1.751999974
4/18/2016,1.773000002
4/19/2016,1.782999992
4/20/2016,1.853999972
4/21/2016,1.870000005
4/22/2016,1.888000011
4/25/2016,1.90199995
4/26/2016,1.930999994
4/27/2016,1.860000014
4/28/2016,1.838000059
4/29/2016,1.819000006
5/2/2016,1.86500001
5/3/2016,1.799999952
5/4/2016,1.784000039
5/5/2016,1.746999979
5/6/2016,1.779000044
5/9/2016,1.75999999
5/10/2016,1.75999999
5/11/2016,1.736999989
5/12/2016,1.756999969
5/13/2016,1.705000043
5/16/2016,1.753000021
5/17/2016,1.758999944
5/18/2016,1.879999995
5/19/2016,1.845000029
5/20/2016,1.848999977
5/23/2016,1.838000059
5/24/2016,1.858999968
5/25/2016,1.870000005
5/26/2016,1.822999954
5/27/2016,1.850999951
5/31/2016,1.833999991
6/1/2016,1.845999956
6/2/2016,1.81099999
6/3/2016,1.703999996
6/6/2016,1.72300005
6/7/2016,1.713000059
6/8/2016,1.70599997
6/9/2016,1.679999948
6/10/2016,1.639000058
6/13/2016,1.616000056
6/14/2016,1.610999942
6/15/2016,1.595999956
6/16/2016,1.56400001
6/17/2016,1.618000031
6/20/2016,1.669999957
6/21/2016,1.697000027
6/22/2016,1.684999943
6/23/2016,1.738999963
6/24/2016,1.578999996
6/27/2016,1.460000038
6/28/2016,1.460999966
6/29/2016,1.476999998
6/30/2016,1.488000035
7/1/2016,1.45599997
7/5/2016,1.366999984
7/6/2016,1.38499999
7/7/2016,1.386999965
7/8/2016,1.366000056
7/11/2016,1.434000015
7/12/2016,1.513000011
7/13/2016,1.468000054
7/14/2016,1.531000018
7/15/2016,1.593999982
7/18/2016,1.587000012
7/19/2016,1.557999969
7/20/2016,1.580000043
7/21/2016,1.565000057
7/22/2016,1.570000052
7/25/2016,1.57099998
7/26/2016,1.562999964
7/27/2016,1.514999986
7/28/2016,1.511000037
7/29/2016,1.457999945
8/1/2016,1.496000051
8/2/2016,1.536999941
8/3/2016,1.542000055
8/4/2016,1.503000021
8/5/2016,1.582000017
8/8/2016,1.582999945
8/9/2016,1.544999957
8/10/2016,1.508999944
8/11/2016,1.572999954
8/12/2016,1.514999986
8/15/2016,1.552999973
8/16/2016,1.575999975
8/17/2016,1.56099999
8/18/2016,1.536000013
8/19/2016,1.577999949
8/22/2016,1.539000034
8/23/2016,1.552999973
8/24/2016,1.559000015
8/25/2016,1.577000022
8/26/2016,1.63499999
8/29/2016,1.565999985
8/30/2016,1.570000052
8/31/2016,1.567999959
9/1/2016,1.570000052
9/2/2016,1.595999956
9/6/2016,1.542999983
9/7/2016,1.541000009
9/8/2016,1.616000056
9/9/2016,1.672000051
9/12/2016,1.672000051
9/13/2016,1.733999968
9/14/2016,1.68900001
9/15/2016,1.702999949
9/16/2016,1.700999975
9/19/2016,1.69599998
9/20/2016,1.687999964
9/21/2016,1.667999983
9/22/2016,1.631999969
9/23/2016,1.61500001
9/26/2016,1.588999987
9/27/2016,1.555999994
9/28/2016,1.567000031
9/29/2016,1.557000041
9/30/2016,1.60800004
10/3/2016,1.621999979
10/4/2016,1.682999969
10/5/2016,1.715999961
10/6/2016,1.741999984
10/7/2016,1.735999942
10/11/2016,1.758999944
10/12/2016,1.777999997
10/13/2016,1.738000035
10/14/2016,1.79400003
10/17/2016,1.766000032
10/18/2016,1.748999953
10/19/2016,1.751999974
10/20/2016,1.746999979
10/21/2016,1.74000001
10/24/2016,1.763000011
10/25/2016,1.758000016
10/26/2016,1.789999962
10/27/2016,1.843000054
10/28/2016,1.845000029
10/31/2016,1.833999991
11/1/2016,1.820000052
11/2/2016,1.799000025
11/3/2016,1.812000036
11/4/2016,1.782999992
11/7/2016,1.827999949
11/8/2016,1.861999989
11/9/2016,2.072000027
11/10/2016,2.117000103
11/14/2016,2.221999884
11/15/2016,2.237999916
11/16/2016,2.22300005
11/17/2016,2.276000023
11/18/2016,2.335000038
11/21/2016,2.338999987
11/22/2016,2.321000099
11/23/2016,2.357000113
11/25/2016,2.371999979
11/28/2016,2.319999933
11/29/2016,2.302000046
11/30/2016,2.368000031
12/1/2016,2.440999985
12/2/2016,2.390000105
12/5/2016,2.387000084
12/6/2016,2.395999908
12/7/2016,2.346999884
12/8/2016,2.387000084
12/9/2016,2.463999987
12/12/2016,2.479000092
12/13/2016,2.480999947
12/14/2016,2.525000095
12/15/2016,2.579999924
12/16/2016,2.596999884
12/19/2016,2.542000055
12/20/2016,2.568000078
12/21/2016,2.546000004
12/22/2016,2.552999973
12/23/2016,2.542999983
12/27/2016,2.562999964
12/28/2016,2.506000042
12/29/2016,2.476999998
12/30/2016,2.446000099
1/3/2017,2.450000048
1/4/2017,2.451999903
1/5/2017,2.368000031
1/6/2017,2.417999983
1/9/2017,2.375999928
1/10/2017,2.378999949
1/11/2017,2.369999886
1/12/2017,2.361000061
1/13/2017,2.380000114
1/17/2017,2.326999903
1/18/2017,2.388999939
1/19/2017,2.459000111
1/20/2017,2.467000008
1/23/2017,2.403000116
1/24/2017,2.470999956
1/25/2017,2.523000002
1/26/2017,2.507999897
1/27/2017,2.480999947
1/30/2017,2.48300004
1/31/2017,2.450999975
2/1/2017,2.473999977
2/2/2017,2.470000029
2/3/2017,2.490999937
2/6/2017,2.413000107
2/7/2017,2.388999939
2/8/2017,2.351000071
2/9/2017,2.394999981
2/10/2017,2.40899992
2/13/2017,2.434000015
2/14/2017,2.470000029
2/15/2017,2.502000093
2/16/2017,2.450000048
2/17/2017,2.424999952
2/21/2017,2.427000046
2/22/2017,2.417999983
2/23/2017,2.388000011
2/24/2017,2.316999912
2/27/2017,2.368999958
2/28/2017,2.35800004
3/1/2017,2.463000059
3/2/2017,2.489000082
3/3/2017,2.492000103
3/6/2017,2.493999958
3/7/2017,2.510999918
3/8/2017,2.552000046
3/9/2017,2.59800005
3/10/2017,2.582000017
3/13/2017,2.60800004
3/14/2017,2.595000029
3/15/2017,2.507999897
3/16/2017,2.522000074
3/17/2017,2.500999928
3/20/2017,2.47300005
3/21/2017,2.436000109
3/22/2017,2.395999908
3/23/2017,2.417999983
3/24/2017,2.400000095
3/27/2017,2.372999907
3/28/2017,2.40899992
3/29/2017,2.385999918
3/30/2017,2.415999889
3/31/2017,2.395999908
4/3/2017,2.349999905
4/4/2017,2.349999905
4/5/2017,2.357000113
4/6/2017,2.342999935
4/7/2017,2.372999907
4/10/2017,2.361000061
4/11/2017,2.298000097
4/12/2017,2.296000004
4/13/2017,2.232000113
4/17/2017,2.252000093
4/18/2017,2.178999901
4/19/2017,2.201999903
4/20/2017,2.240999937
4/21/2017,2.236999989
4/24/2017,2.273000002
4/25/2017,2.326999903
4/26/2017,2.311000109
4/27/2017,2.296000004
4/28/2017,2.282000065
5/1/2017,2.325000048
5/2/2017,2.296000004
5/3/2017,2.309000015
5/4/2017,2.355999947
5/5/2017,2.351999998
5/8/2017,2.375999928
5/9/2017,2.407000065
5/10/2017,2.414000034
5/11/2017,2.400000095
5/12/2017,2.335000038
5/15/2017,2.338000059
5/16/2017,2.328999996
5/17/2017,2.21600008
5/18/2017,2.23300004
5/19/2017,2.244999886
5/22/2017,2.253999949
5/23/2017,2.285000086
5/24/2017,2.266000032
5/25/2017,2.255000114
5/26/2017,2.25
5/30/2017,2.217000008
5/31/2017,2.196000099
6/1/2017,2.217000008
6/2/2017,2.15899992
6/5/2017,2.181999922
6/6/2017,2.147000074
6/7/2017,2.177999973
6/8/2017,2.194000006
6/9/2017,2.198999882
6/12/2017,2.213000059
6/13/2017,2.207000017
6/14/2017,2.138000011
6/15/2017,2.161999941
6/16/2017,2.157000065
6/19/2017,2.190000057
6/20/2017,2.153000116
6/21/2017,2.154999971
6/22/2017,2.153000116
6/23/2017,2.144000053
6/26/2017,2.137000084
6/27/2017,2.197999954
6/28/2017,2.220999956
6/29/2017,2.26699996
6/30/2017,2.302000046
7/3/2017,2.345999956
7/5/2017,2.334000111
7/6/2017,2.369999886
7/7/2017,2.392999887
7/10/2017,2.371000051
7/11/2017,2.361999989
7/12/2017,2.326999903
7/13/2017,2.34800005
7/14/2017,2.319000006
7/17/2017,2.309000015
7/18/2017,2.263000011
7/19/2017,2.267999887
7/20/2017,2.266000032
7/21/2017,2.232000113
7/24/2017,2.253999949
7/25/2017,2.325999975
7/26/2017,2.282000065
7/27/2017,2.309999943
7/28/2017,2.289000034
7/31/2017,2.292000055
8/1/2017,2.250999928
8/2/2017,2.262000084
8/3/2017,2.227999926
8/4/2017,2.26699996
8/7/2017,2.256999969
8/8/2017,2.282999992
8/9/2017,2.240999937
8/10/2017,2.211999893
8/11/2017,2.188999891
8/14/2017,2.219000101
8/15/2017,2.266000032
8/16/2017,2.226000071
8/17/2017,2.198999882
8/18/2017,2.194000006
8/21/2017,2.180000067
8/22/2017,2.214999914
8/23/2017,2.171000004
8/24/2017,2.194000006
8/25/2017,2.16899991
8/28/2017,2.15899992
8/29/2017,2.135999918
8/30/2017,2.142999887
8/31/2017,2.121000051
9/1/2017,2.157000065
9/5/2017,2.069999933
9/6/2017,2.10800004
9/7/2017,2.061000109
9/8/2017,2.061000109
9/11/2017,2.125
9/12/2017,2.171000004
9/13/2017,2.194999933
9/14/2017,2.197000027
9/15/2017,2.201999903
9/18/2017,2.229000092
9/19/2017,2.243000031
9/20/2017,2.27699995
9/21/2017,2.278000116
9/22/2017,2.262000084
9/25/2017,2.220000029
9/26/2017,2.229000092
9/27/2017,2.309000015
9/28/2017,2.309000015
9/29/2017,2.325999975
10/2/2017,2.336999893
10/3/2017,2.334000111
10/4/2017,2.329999924
10/5/2017,2.349999905
10/6/2017,2.369999886
10/9/2017,2.361000061
10/10/2017,2.345000029
10/11/2017,2.345000029
10/12/2017,2.322999954
10/13/2017,2.279999971
10/16/2017,2.306999922
10/17/2017,2.298000097
10/18/2017,2.338999987
10/19/2017,2.321000099
10/20/2017,2.381000042
10/23/2017,2.375999928
10/24/2017,2.405999899
10/25/2017,2.444000006
10/26/2017,2.451999903
10/27/2017,2.427999973
10/30/2017,2.369999886
10/31/2017,2.375999928
11/1/2017,2.375999928
11/2/2017,2.346999884
11/3/2017,2.342999935
11/6/2017,2.319999933
11/7/2017,2.306999922
11/8/2017,2.325000048
11/9/2017,2.33100009
11/10/2017,2.400000095
11/13/2017,2.400000095
11/14/2017,2.381000042
11/15/2017,2.335000038
11/16/2017,2.361000061
11/17/2017,2.354000092
11/20/2017,2.371999979
11/21/2017,2.362999916
11/22/2017,2.322000027
11/24/2017,2.339999914
11/27/2017,2.328000069
11/28/2017,2.338000059
11/29/2017,2.375999928
11/30/2017,2.417000055
12/1/2017,2.361999989
12/4/2017,2.378999949
12/5/2017,2.355999947
12/6/2017,2.329999924
12/7/2017,2.375999928
12/8/2017,2.382999897
12/11/2017,2.38499999
12/12/2017,2.403000116
12/13/2017,2.348999977
12/14/2017,2.345999956
12/15/2017,2.355000019
12/18/2017,2.39199996
12/19/2017,2.463000059
12/20/2017,2.496999979
12/21/2017,2.480999947
12/22/2017,2.484999895
12/26/2017,2.467000008
12/27/2017,2.414000034
12/28/2017,2.431999922
12/29/2017,2.404999971
1/2/2018,2.464999914
1/3/2018,2.447000027
1/4/2018,2.453000069
1/5/2018,2.476000071
1/8/2018,2.480000019
1/9/2018,2.546000004
1/10/2018,2.549999952
1/11/2018,2.530999899
1/12/2018,2.552000046
1/16/2018,2.54399991
1/17/2018,2.578000069
1/18/2018,2.611000061
1/19/2018,2.637000084
1/22/2018,2.664999962
1/23/2018,2.624000072
1/24/2018,2.654000044
1/25/2018,2.621000051
1/26/2018,2.661999941
1/30/2018,2.726000071
1/31/2018,2.720000029
2/1/2018,2.773000002
2/2/2018,2.854000092
2/5/2018,2.79399991
2/6/2018,2.767999887
2/7/2018,2.844000101
2/8/2018,2.851000071
2/9/2018,2.828999996
2/12/2018,2.857000113
2/13/2018,2.839999914
2/14/2018,2.913000107
2/15/2018,2.891000032
2/16/2018,2.877000093
2/20/2018,2.892999887
2/21/2018,2.943000078
2/22/2018,2.917000055
2/23/2018,2.871000051
2/26/2018,2.858999968
2/27/2018,2.907999992
2/28/2018,2.868000031
3/1/2018,2.803999901
3/2/2018,2.857000113
3/5/2018,2.881000042
3/6/2018,2.877000093
3/7/2018,2.882999897
3/8/2018,2.865999937
3/9/2018,2.894000053
3/12/2018,2.869999886
3/13/2018,2.84800005
3/14/2018,2.816999912
3/15/2018,2.825999975
3/16/2018,2.84800005
3/19/2018,2.845000029
3/20/2018,2.878999949
3/21/2018,2.907000065
3/22/2018,2.832000017
3/23/2018,2.829999924
3/26/2018,2.842999935
