Date,Cpi
11/10/2015,238.017
11/11/2015,238.017
11/12/2015,238.017
11/13/2015,238.017
11/16/2015,238.017
11/17/2015,238.017
11/18/2015,238.017
11/19/2015,238.017
11/20/2015,238.017
11/23/2015,238.017
11/24/2015,238.017
11/25/2015,238.017
11/27/2015,238.017
11/30/2015,238.017
12/1/2015,237.761
12/2/2015,237.761
12/3/2015,237.761
12/4/2015,237.761
12/7/2015,237.761
12/8/2015,237.761
12/9/2015,237.761
12/10/2015,237.761
12/11/2015,237.761
12/14/2015,237.761
12/15/2015,237.761
12/16/2015,237.761
12/17/2015,237.761
12/18/2015,237.761
12/21/2015,237.761
12/22/2015,237.761
12/23/2015,237.761
12/24/2015,237.761
12/28/2015,237.761
12/29/2015,237.761
12/30/2015,237.761
12/31/2015,237.761
1/4/2016,237.652
1/5/2016,237.652
1/6/2016,237.652
1/7/2016,237.652
1/8/2016,237.652
1/11/2016,237.652
1/12/2016,237.652
1/13/2016,237.652
1/14/2016,237.652
1/15/2016,237.652
1/19/2016,237.652
1/20/2016,237.652
1/21/2016,237.652
1/22/2016,237.652
1/25/2016,237.652
1/26/2016,237.652
1/27/2016,237.652
1/28/2016,237.652
1/29/2016,237.652
2/1/2016,237.336
2/2/2016,237.336
2/3/2016,237.336
2/4/2016,237.336
2/5/2016,237.336
2/8/2016,237.336
2/9/2016,237.336
2/10/2016,237.336
2/11/2016,237.336
2/12/2016,237.336
2/16/2016,237.336
2/17/2016,237.336
2/18/2016,237.336
2/19/2016,237.336
2/22/2016,237.336
2/23/2016,237.336
2/24/2016,237.336
2/25/2016,237.336
2/26/2016,237.336
2/29/2016,237.336
3/1/2016,238.08
3/2/2016,238.08
3/3/2016,238.08
3/4/2016,238.08
3/7/2016,238.08
3/8/2016,238.08
3/9/2016,238.08
3/10/2016,238.08
3/11/2016,238.08
3/14/2016,238.08
3/15/2016,238.08
3/16/2016,238.08
3/17/2016,238.08
3/18/2016,238.08
3/21/2016,238.08
3/22/2016,238.08
3/23/2016,238.08
3/24/2016,238.08
3/28/2016,238.08
3/29/2016,238.08
3/30/2016,238.08
3/31/2016,238.08
4/1/2016,238.992
4/4/2016,238.992
4/5/2016,238.992
4/6/2016,238.992
4/7/2016,238.992
4/8/2016,238.992
4/11/2016,238.992
4/12/2016,238.992
4/13/2016,238.992
4/14/2016,238.992
4/15/2016,238.992
4/18/2016,238.992
4/19/2016,238.992
4/20/2016,238.992
4/21/2016,238.992
4/22/2016,238.992
4/25/2016,238.992
4/26/2016,238.992
4/27/2016,238.992
4/28/2016,238.992
4/29/2016,238.992
5/2/2016,239.557
5/3/2016,239.557
5/4/2016,239.557
5/5/2016,239.557
5/6/2016,239.557
5/9/2016,239.557
5/10/2016,239.557
5/11/2016,239.557
5/12/2016,239.557
5/13/2016,239.557
5/16/2016,239.557
5/17/2016,239.557
5/18/2016,239.557
5/19/2016,239.557
5/20/2016,239.557
5/23/2016,239.557
5/24/2016,239.557
5/25/2016,239.557
5/26/2016,239.557
5/27/2016,239.557
5/31/2016,239.557
6/1/2016,240.222
6/2/2016,240.222
6/3/2016,240.222
6/6/2016,240.222
6/7/2016,240.222
6/8/2016,240.222
6/9/2016,240.222
6/10/2016,240.222
6/13/2016,240.222
6/14/2016,240.222
6/15/2016,240.222
6/16/2016,240.222
6/17/2016,240.222
6/20/2016,240.222
6/21/2016,240.222
6/22/2016,240.222
6/23/2016,240.222
6/24/2016,240.222
6/27/2016,240.222
6/28/2016,240.222
6/29/2016,240.222
6/30/2016,240.222
7/1/2016,240.101
7/5/2016,240.101
7/6/2016,240.101
7/7/2016,240.101
7/8/2016,240.101
7/11/2016,240.101
7/12/2016,240.101
7/13/2016,240.101
7/14/2016,240.101
7/15/2016,240.101
7/18/2016,240.101
7/19/2016,240.101
7/20/2016,240.101
7/21/2016,240.101
7/22/2016,240.101
7/25/2016,240.101
7/26/2016,240.101
7/27/2016,240.101
7/28/2016,240.101
7/29/2016,240.101
8/1/2016,240.545
8/2/2016,240.545
8/3/2016,240.545
8/4/2016,240.545
8/5/2016,240.545
8/8/2016,240.545
8/9/2016,240.545
8/10/2016,240.545
8/11/2016,240.545
8/12/2016,240.545
8/15/2016,240.545
8/16/2016,240.545
8/17/2016,240.545
8/18/2016,240.545
8/19/2016,240.545
8/22/2016,240.545
8/23/2016,240.545
8/24/2016,240.545
8/25/2016,240.545
8/26/2016,240.545
8/29/2016,240.545
8/30/2016,240.545
8/31/2016,240.545
9/1/2016,241.176
9/2/2016,241.176
9/6/2016,241.176
9/7/2016,241.176
9/8/2016,241.176
9/9/2016,241.176
9/12/2016,241.176
9/13/2016,241.176
9/14/2016,241.176
9/15/2016,241.176
9/16/2016,241.176
9/19/2016,241.176
9/20/2016,241.176
9/21/2016,241.176
9/22/2016,241.176
9/23/2016,241.176
9/26/2016,241.176
9/27/2016,241.176
9/28/2016,241.176
9/29/2016,241.176
9/30/2016,241.176
10/3/2016,241.741
10/4/2016,241.741
