Date,Oil
7/28/2015,47.97999954
7/29/2015,48.79000092
7/30/2015,48.52000046
7/31/2015,47.11999893
8/3/2015,45.16999817
8/4/2015,45.74000168
8/5/2015,45.15000153
8/6/2015,44.65999985
8/7/2015,43.86999893
8/10/2015,44.95999908
8/11/2015,43.08000183
8/12/2015,43.29999924
8/13/2015,42.22999954
8/14/2015,42.5
8/17/2015,41.86999893
8/18/2015,42.61999893
8/19/2015,40.79999924
8/20/2015,41.13999939
8/21/2015,40.45000076
8/24/2015,38.24000168
8/25/2015,39.31000137
8/26/2015,38.59999847
8/27/2015,42.56000137
8/28/2015,45.22000122
8/31/2015,49.20000076
9/1/2015,45.40999985
9/2/2015,46.25
9/3/2015,46.75
9/4/2015,46.04999924
9/8/2015,45.93999863
9/9/2015,44.15000153
9/10/2015,45.91999817
9/11/2015,44.63000107
9/14/2015,44.0
9/15/2015,44.59000015
9/16/2015,47.15000153
9/17/2015,46.90000153
9/18/2015,44.68000031
9/21/2015,46.68000031
9/22/2015,45.83000183
9/23/2015,44.47999954
9/24/2015,44.90999985
9/25/2015,45.70000076
9/28/2015,44.43000031
9/29/2015,45.22999954
9/30/2015,45.09000015
10/1/2015,44.74000168
10/2/2015,45.54000092
10/5/2015,46.25999832
10/6/2015,48.52999878
10/7/2015,47.81000137
10/8/2015,49.43000031
10/9/2015,49.63000107
10/12/2015,47.09999847
10/13/2015,46.65999985
10/14/2015,46.63999939
10/15/2015,46.38000107
10/16/2015,47.25999832
10/19/2015,45.88999939
10/20/2015,45.54999924
10/21/2015,45.20000076
10/22/2015,45.38000107
10/23/2015,44.59999847
10/26/2015,43.97999954
10/27/2015,43.20000076
10/28/2015,45.93999863
10/29/2015,46.06000137
10/30/2015,46.59000015
11/2/2015,46.13999939
11/3/2015,47.90000153
11/4/2015,46.31999969
11/5/2015,45.20000076
11/6/2015,44.29000092
11/9/2015,43.86999893
11/10/2015,44.20999908
11/11/2015,42.93000031
11/12/2015,41.75
11/13/2015,40.74000168
11/16/2015,41.74000168
11/17/2015,40.66999817
11/18/2015,40.75
11/19/2015,40.54000092
11/20/2015,40.38999939
11/23/2015,41.75
11/24/2015,42.86999893
11/25/2015,43.04000092
11/27/2015,41.70999908
11/30/2015,41.65000153
12/1/2015,41.84999847
12/2/2015,39.93999863
12/3/2015,41.08000183
12/4/2015,39.97000122
12/7/2015,37.65000153
12/8/2015,37.50999832
12/9/2015,37.15999985
12/10/2015,36.75999832
12/11/2015,35.61999893
12/14/2015,36.31000137
12/15/2015,37.34999847
12/16/2015,35.52000046
12/17/2015,34.95000076
12/18/2015,34.72999954
12/21/2015,34.74000168
12/22/2015,36.13999939
12/23/2015,37.5
12/24/2015,38.09999847
12/28/2015,36.81000137
12/29/2015,37.86999893
12/30/2015,36.59999847
12/31/2015,37.04000092
1/4/2016,36.75999832
1/5/2016,35.97000122
1/6/2016,33.97000122
1/7/2016,33.27000046
1/8/2016,33.15999985
1/11/2016,31.40999985
1/12/2016,30.44000053
1/13/2016,30.47999954
1/14/2016,31.20000076
1/15/2016,29.42000008
1/19/2016,28.45999908
1/20/2016,26.54999924
1/21/2016,29.53000069
1/22/2016,32.18999863
1/25/2016,30.34000015
1/26/2016,31.45000076
1/27/2016,32.29999924
1/28/2016,33.22000122
1/29/2016,33.61999893
2/1/2016,31.62000084
2/2/2016,29.87999916
2/3/2016,32.27999878
2/4/2016,31.71999931
2/5/2016,30.88999939
2/8/2016,29.69000053
2/9/2016,27.94000053
2/10/2016,27.45000076
2/11/2016,26.20999908
2/12/2016,29.44000053
2/16/2016,29.04000092
2/17/2016,30.65999985
2/18/2016,30.77000046
2/19/2016,29.63999939
2/22/2016,31.47999954
2/23/2016,31.87000084
2/24/2016,32.15000153
2/25/2016,33.06999969
2/26/2016,32.77999878
2/29/2016,33.75
3/1/2016,34.40000153
3/2/2016,34.65999985
3/3/2016,34.56999969
3/4/2016,35.91999817
3/7/2016,37.90000153
3/8/2016,36.5
3/9/2016,38.29000092
3/10/2016,37.84000015
3/11/2016,38.5
3/14/2016,37.18000031
3/15/2016,36.34000015
3/16/2016,38.45999908
3/17/2016,40.20000076
3/18/2016,39.43999863
3/21/2016,39.90999985
3/22/2016,41.45000076
3/23/2016,39.79000092
3/24/2016,39.45999908
3/28/2016,39.38999939
3/29/2016,38.27999878
3/30/2016,38.31999969
3/31/2016,38.34000015
4/1/2016,36.79000092
4/4/2016,35.70000076
4/5/2016,35.88999939
4/6/2016,37.75
4/7/2016,37.25999832
4/8/2016,39.72000122
4/11/2016,40.36000061
4/12/2016,42.16999817
4/13/2016,41.75999832
4/14/2016,41.5
4/15/2016,40.36000061
4/18/2016,39.77999878
4/19/2016,41.08000183
4/20/2016,42.63000107
4/21/2016,43.18000031
4/22/2016,43.72999954
4/25/2016,42.63999939
4/26/2016,44.04000092
4/27/2016,45.33000183
4/28/2016,46.02999878
4/29/2016,45.91999817
5/2/2016,44.77999878
5/3/2016,43.65000153
5/4/2016,43.77999878
5/5/2016,44.31999969
5/6/2016,44.65999985
5/9/2016,43.43999863
5/10/2016,44.65999985
5/11/2016,46.22999954
5/12/2016,46.70000076
5/13/2016,46.20999908
5/16/2016,47.72000122
5/17/2016,48.31000137
5/18/2016,48.18999863
5/19/2016,48.15999985
5/20/2016,47.75
5/23/2016,48.08000183
5/24/2016,48.61999893
5/25/2016,49.56000137
5/26/2016,49.47999954
5/27/2016,49.33000183
5/31/2016,49.09999847
6/1/2016,49.00999832
6/2/2016,49.16999817
6/3/2016,48.61999893
6/6/2016,49.68999863
6/7/2016,50.36000061
6/8/2016,51.22999954
6/9/2016,50.56000137
6/10/2016,49.06999969
6/13/2016,48.88000107
6/14/2016,48.49000168
6/15/2016,48.00999832
6/16/2016,46.20999908
6/17/2016,47.97999954
6/20/2016,49.36999893
6/21/2016,48.84999847
6/22/2016,49.13000107
6/23/2016,50.11000061
6/24/2016,47.63999939
6/27/2016,46.33000183
6/28/2016,47.84999847
6/29/2016,49.88000107
6/30/2016,48.33000183
7/1/2016,48.99000168
7/5/2016,46.59999847
7/6/2016,47.43000031
7/7/2016,45.13999939
7/8/2016,45.40999985
7/11/2016,44.75999832
7/12/2016,46.79999924
7/13/2016,44.75
7/14/2016,45.68000031
7/15/2016,45.95000076
7/18/2016,45.24000168
7/19/2016,44.65000153
7/20/2016,44.93999863
7/21/2016,44.75
7/22/2016,44.18999863
7/25/2016,43.13000107
7/26/2016,42.91999817
7/27/2016,41.91999817
7/28/2016,41.13999939
7/29/2016,41.59999847
8/1/2016,40.06000137
8/2/2016,39.50999832
8/3/2016,40.83000183
8/4/2016,41.93000031
8/5/2016,41.79999924
8/8/2016,43.02000046
8/9/2016,42.77000046
8/10/2016,41.70999908
8/11/2016,43.49000168
8/12/2016,44.49000168
8/15/2016,45.74000168
8/16/2016,46.58000183
8/17/2016,46.79000092
8/18/2016,48.22000122
8/19/2016,48.52000046
8/22/2016,47.04999924
8/23/2016,48.09999847
8/24/2016,46.77000046
8/25/2016,47.33000183
8/26/2016,47.63999939
8/29/2016,46.97999954
8/30/2016,46.34999847
8/31/2016,44.70000076
9/1/2016,43.15999985
9/2/2016,44.43999863
9/6/2016,44.83000183
9/7/2016,45.5
9/8/2016,47.61999893
9/9/2016,45.88000107
9/12/2016,46.29000092
9/13/2016,44.90000153
9/14/2016,43.58000183
9/15/2016,43.90999985
9/16/2016,43.02999878
9/19/2016,43.29999924
9/20/2016,43.43999863
9/21/2016,45.34000015
9/22/2016,46.31999969
9/23/2016,44.47999954
9/26/2016,45.93000031
9/27/2016,44.66999817
9/28/2016,47.04999924
9/29/2016,47.83000183
9/30/2016,48.24000168
10/3/2016,48.81000137
10/4/2016,48.68999863
10/5/2016,49.83000183
10/6/2016,50.43999863
10/7/2016,49.81000137
10/11/2016,50.79000092
10/12/2016,50.18000031
10/13/2016,50.43999863
10/14/2016,50.34999847
10/17/2016,49.93999863
10/18/2016,50.29000092
10/19/2016,51.59999847
10/20/2016,50.43000031
10/21/2016,50.84999847
10/24/2016,50.52000046
10/25/2016,49.95999908
10/26/2016,49.18000031
10/27/2016,49.72000122
10/28/2016,48.70000076
10/31/2016,46.86000061
11/1/2016,46.66999817
11/2/2016,45.34000015
11/3/2016,44.65999985
11/4/2016,44.06999969
11/7/2016,44.88999939
11/8/2016,44.97999954
11/9/2016,45.27000046
11/10/2016,44.65999985
11/14/2016,43.31999969
11/15/2016,45.81000137
11/16/2016,45.56999969
11/17/2016,45.41999817
11/18/2016,45.68999863
11/21/2016,47.49000168
11/22/2016,48.02999878
11/23/2016,47.95999908
11/25/2016,46.06000137
11/28/2016,47.08000183
11/29/2016,45.22999954
11/30/2016,49.43999863
12/1/2016,51.06000137
12/2/2016,51.68000031
12/5/2016,51.79000092
12/6/2016,50.93000031
12/7/2016,49.77000046
12/8/2016,50.84000015
12/9/2016,51.5
12/12/2016,52.83000183
12/13/2016,52.97999954
12/14/2016,51.04000092
12/15/2016,50.90000153
12/16/2016,51.90000153
12/19/2016,52.11999893
12/20/2016,52.22999954
12/21/2016,52.49000168
12/22/2016,52.95000076
12/23/2016,53.02000046
12/27/2016,53.90000153
12/28/2016,54.06000137
12/29/2016,53.77000046
12/30/2016,53.72000122
1/3/2017,52.33000183
1/4/2017,53.25999832
1/5/2017,53.75999832
1/6/2017,53.99000168
1/9/2017,51.95999908
1/10/2017,50.81999969
1/11/2017,52.25
1/12/2017,53.00999832
1/13/2017,52.36999893
1/17/2017,52.47999954
1/18/2017,51.08000183
1/19/2017,51.36999893
1/20/2017,52.41999817
1/23/2017,52.75
1/24/2017,53.18000031
1/25/2017,52.75
1/26/2017,53.77999878
1/27/2017,53.16999817
1/30/2017,52.63000107
1/31/2017,52.81000137
2/1/2017,53.88000107
2/2/2017,53.54000092
2/3/2017,53.83000183
2/6/2017,53.00999832
2/7/2017,52.16999817
2/8/2017,52.34000015
2/9/2017,53.0
2/10/2017,53.86000061
2/13/2017,52.93000031
2/14/2017,53.20000076
2/15/2017,53.11000061
2/16/2017,53.36000061
2/17/2017,53.40000153
2/21/2017,54.06000137
2/22/2017,53.59000015
2/23/2017,54.45000076
2/24/2017,53.99000168
2/27/2017,54.04999924
2/28/2017,54.00999832
3/1/2017,53.83000183
3/2/2017,52.61000061
3/3/2017,53.33000183
3/6/2017,53.20000076
3/7/2017,53.13999939
3/8/2017,50.27999878
3/9/2017,49.27999878
3/10/2017,48.49000168
3/13/2017,48.40000153
3/14/2017,47.72000122
3/15/2017,48.86000061
3/16/2017,48.75
3/17/2017,48.77999878
3/20/2017,48.22000122
3/21/2017,47.34000015
3/22/2017,48.04000092
3/23/2017,47.70000076
3/24/2017,47.97000122
3/27/2017,47.72999954
3/28/2017,48.36999893
3/29/2017,49.50999832
3/30/2017,50.34999847
3/31/2017,50.59999847
4/3/2017,50.24000168
4/4/2017,51.02999878
4/5/2017,51.15000153
4/6/2017,51.70000076
4/7/2017,52.24000168
4/10/2017,53.08000183
4/11/2017,53.40000153
4/12/2017,53.11000061
4/13/2017,53.18000031
4/17/2017,52.65000153
4/18/2017,52.40999985
4/19/2017,50.43999863
4/20/2017,50.27000046
4/21/2017,49.61999893
4/24/2017,49.22999954
4/25/2017,49.56000137
4/26/2017,49.61999893
4/27/2017,48.97000122
4/28/2017,49.33000183
5/1/2017,48.84000015
5/2/2017,47.65999985
5/3/2017,47.81999969
5/4/2017,45.52000046
5/5/2017,46.22000122
5/8/2017,46.43000031
5/9/2017,45.88000107
5/10/2017,47.33000183
5/11/2017,47.83000183
5/12/2017,47.84000015
5/15/2017,48.84999847
5/16/2017,48.65999985
5/17/2017,49.06999969
5/18/2017,49.34999847
5/19/2017,50.33000183
5/22/2017,50.72999954
5/23/2017,51.47000122
