Date,Inf
9/17/2014,2.06
9/18/2014,2.02
9/19/2014,2.03
9/22/2014,1.99
9/23/2014,2.02
9/24/2014,2.03
9/25/2014,2.02
9/26/2014,1.97
9/29/2014,1.95
9/30/2014,1.97
10/1/2014,1.96
10/2/2014,1.95
10/3/2014,1.93
10/6/2014,1.93
10/7/2014,1.92
10/8/2014,1.96
10/9/2014,1.97
10/10/2014,1.96
10/13/2014,2.88
10/14/2014,1.92
10/15/2014,1.86
10/16/2014,1.89
10/17/2014,1.92
10/20/2014,1.91
10/21/2014,1.9
10/22/2014,1.91
10/23/2014,1.91
10/24/2014,1.9
10/27/2014,1.89
10/28/2014,1.91
10/29/2014,1.92
10/30/2014,1.9
10/31/2014,1.92
11/3/2014,1.93
11/4/2014,1.92
11/5/2014,1.93
11/6/2014,1.94
11/7/2014,1.94
11/10/2014,1.94
11/11/2014,2.88
11/12/2014,1.91
11/13/2014,1.88
11/14/2014,1.89
11/17/2014,1.86
11/18/2014,1.84
11/19/2014,1.83
11/20/2014,1.85
11/21/2014,1.86
11/24/2014,1.86
11/25/2014,1.85
11/26/2014,1.82
11/28/2014,1.79
12/1/2014,1.79
12/2/2014,1.77
12/3/2014,1.79
12/4/2014,1.77
12/5/2014,1.75
12/8/2014,1.71
12/9/2014,1.73
12/10/2014,1.71
12/11/2014,1.7
12/12/2014,1.64
12/15/2014,1.62
12/16/2014,1.65
12/17/2014,1.65
12/18/2014,1.65
12/19/2014,1.68
12/22/2014,1.7
12/23/2014,1.7
12/24/2014,1.68
12/26/2014,1.67
12/29/2014,1.65
12/30/2014,1.64
12/31/2014,1.68
1/2/2015,1.71
1/5/2015,1.64
1/6/2015,1.56
1/7/2015,1.57
1/8/2015,1.62
1/9/2015,1.62
1/12/2015,1.57
1/13/2015,1.54
1/14/2015,1.57
1/15/2015,1.58
1/16/2015,1.6
1/20/2015,1.59
1/21/2015,1.61
1/22/2015,1.61
1/23/2015,1.6
1/26/2015,1.61
1/27/2015,1.66
1/28/2015,1.61
1/29/2015,1.62
1/30/2015,1.65
2/2/2015,1.65
2/3/2015,1.7
2/4/2015,1.71
2/5/2015,1.7
2/6/2015,1.71
2/9/2015,1.71
2/10/2015,1.7
2/11/2015,1.68
2/12/2015,1.66
2/13/2015,1.68
2/17/2015,1.71
2/18/2015,1.71
2/19/2015,1.74
2/20/2015,1.75
2/23/2015,1.72
2/24/2015,1.72
2/25/2015,1.72
2/26/2015,1.79
2/27/2015,1.83
3/2/2015,1.83
3/3/2015,1.86
3/4/2015,1.87
3/5/2015,1.84
3/6/2015,1.83
3/9/2015,1.76
3/10/2015,1.73
3/11/2015,1.72
3/12/2015,1.71
3/13/2015,1.69
3/16/2015,1.65
3/17/2015,1.64
3/18/2015,1.7
3/19/2015,1.79
3/20/2015,1.76
3/23/2015,1.75
3/24/2015,1.77
3/25/2015,1.81
3/26/2015,1.8
3/27/2015,1.76
3/30/2015,1.73
3/31/2015,1.76
4/1/2015,1.8
4/2/2015,1.81
4/6/2015,1.85
4/7/2015,1.85
4/8/2015,1.84
4/9/2015,1.84
4/10/2015,1.82
4/13/2015,1.8
4/14/2015,1.8
4/15/2015,1.84
4/16/2015,1.85
4/17/2015,1.89
4/20/2015,1.89
4/21/2015,1.86
4/22/2015,1.87
4/23/2015,1.89
4/24/2015,1.89
4/27/2015,1.91
4/28/2015,1.89
4/29/2015,1.92
4/30/2015,1.94
